X,Y,Z,rX,rY,rZ,id
-3.98385,0.7245,-2.39437,2.53225,0.129071,2.68958,382
-3.99255,0.72842,-2.38457,2.53858,0.131505,2.69958,383
-4.01207,0.724003,-2.37137,2.55347,0.135145,2.71837,384
-4.0309,0.72972,-2.36822,2.56533,0.13503,2.73602,385
-4.05655,0.725109,-2.36097,2.57137,0.136609,2.74407,386
-4.07763,0.721703,-2.35379,2.57091,0.138512,2.74418,387
-4.09323,0.718054,-2.34584,2.56996,0.141059,2.74355,388
-4.11224,0.713725,-2.33614,2.56938,0.144445,2.74382,389
-4.1172,0.71246,-2.33331,2.56664,0.144784,2.74079,390
-4.13907,0.70686,-2.31951,2.56276,0.150075,2.73531,391
-4.16317,0.698184,-2.30744,2.56133,0.155111,2.73152,392
-4.18676,0.693459,-2.28952,2.55795,0.163949,2.72713,393
-4.20926,0.688929,-2.27938,2.56016,0.169343,2.7291,394
-4.22703,0.686044,-2.27077,2.56211,0.174099,2.73006,395
-4.24488,0.685365,-2.25898,2.55945,0.181434,2.72814,396
-4.26226,0.686387,-2.24691,2.56009,0.188804,2.73043,397
-4.27916,0.686406,-2.23771,2.5636,0.192285,2.73572,398
-4.29711,0.687881,-2.22937,2.56676,0.195668,2.74257,399
-4.31269,0.687922,-2.22202,2.5677,0.198723,2.74803,400
-4.32742,0.689059,-2.2124,2.56866,0.20325,2.75487,401
-4.34658,0.682996,-2.20534,2.57528,0.207112,2.76859,402
-4.36774,0.684265,-2.19612,2.57514,0.211792,2.77995,403
-4.39078,0.681427,-2.18471,2.57144,0.217186,2.77957,404
-4.40605,0.684162,-2.18032,2.5634,0.21911,2.77263,405
